Ticker,Q9_NetIncome,Q10_NetIncome,Q11_NetIncome,Q12_NetIncome,Q13_NetIncome,Q14_NetIncome,Q15_NetIncome,Q16_NetIncome
CGNX,69848000,69345000,87506000,-1142000,20477000,80327000,41685000,77598000
CHD,218300000,220700000,150200000,216200000,189700000,229800000,144400000,157300000
CHD,220700000,150200000,216200000,189700000,229800000,144400000,157300000,218300000
CHDN,108300000,36100000,17100000,43200000,-118800000,-23400000,4000000,14800000
CHDN,108300000,36100000,17100000,43200000,-118800000,-23400000,4000000,61400000
CHE,56522000,65400000,113752000,67722000,82101000,55891000,65580000,58947000
CHE,65400000,113752000,67722000,82101000,55891000,65580000,58947000,56522000
CHH,85882000,22337000,7865000,14500000,-2441000,55463000,42169000,76239000
CHH,22337000,7865000,14500000,-2441000,55463000,42169000,76239000,85882000
CHK,-439000000,295000000,-416000000,-745000000,-276000000,-8297000000,-324000000,-61000000
CHK,295000000,-416000000,-745000000,-276000000,-8297000000,-324000000,-61000000,-439000000
CHPT,-84938000,82289000,-255465316,100124231,-40890000,-792915,-35287000,-124174
CHPT,82289000,-255465316,100124231,-40890000,-792915,-35287000,-124174,-84938000
CHRW,193789000,173305000,147807000,136529000,143939000,78146000,99106000,146894000
CHRW,173305000,147807000,136529000,143939000,78146000,99106000,146894000,193789000
CHTR,1020000000,807000000,1246000000,814000000,766000000,396000000,714000000,387000000
CHTR,807000000,1246000000,814000000,766000000,396000000,714000000,387000000,1020000000
CI,1467000000,1161000000,4135000000,1388000000,1754000000,-199000000,1181000000,1261000000
CI,1161000000,4135000000,1388000000,1754000000,-199000000,1181000000,1261000000,1467000000
CIEN,238232000,103117000,55348000,65041000,142267000,91655000,62328000,80331000
CIEN,103117000,55348000,65041000,142267000,91655000,62328000,80331000,238232000
CINF,703000000,620000000,1049000000,484000000,909000000,-1226000000,626000000,248000000
CINF,620000000,1049000000,484000000,909000000,-1226000000,626000000,248000000,703000000
CL,703000000,681000000,647000000,698000000,635000000,715000000,643000000,578000000
CL,681000000,647000000,698000000,635000000,715000000,643000000,578000000,703000000
CLF,780000000,41000000,64000000,-10000000,-124000000,-52000000,63400000,90900000
CLF,780000000,41000000,64000000,-10000000,-124000000,-52000000,63400000,1274000000
CLH,67075000,21736000,39332000,54910000,29023000,11572000,24151000,36369000
CLH,21736000,39332000,54910000,29023000,11572000,24151000,36369000,67075000
CLVT,-131500000,-56000000,-13725000,-181986000,-25281000,-129633000,-84787000,10831000
CLVT,-56000000,-13725000,-181986000,-25281000,-129633000,-84787000,10831000,-131500000
CLX,97000000,-61000000,259000000,415000000,310000000,241000000,185000000,203000000
CLX,-61000000,259000000,415000000,310000000,241000000,185000000,203000000,97000000
CMA,328000000,350000000,215000000,211000000,113000000,-65000000,269000000,292000000
CMA,350000000,215000000,211000000,113000000,-65000000,269000000,292000000,328000000
CMCSA,3738000000,3329000000,3380000000,2019000000,2988000000,2147000000,3162000000,3217000000
CMCSA,3329000000,3380000000,2019000000,2988000000,2147000000,3162000000,3217000000,3738000000
